,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
34,Canada,4100.0,4556.0,5107.0,5840.0,7028.0,7512.0,8813.0,8920.0,9112.0,10020.0,11170.0,12363.0,12531.0,13475.0,13911.0,14112.0,14416.0,16250.0,18847.0,20701.0,21471.0,21786.0,20892.0,20124.0,19938.0,20615.0,21242.0,21854.0,20960.0,22224.0,24177.0,23761.0,24224.0,28244.0,32056.0,36253.0,40337.0,44417.0,46431.0,40631.0,47279.0,51845.0,52320.0,52302.0,50379.0,43206.0
35,Cape Verde,270.0,301.0,340.0,420.0,422.0,491.0,457.0,426.0,485.0,514.0,566.0,546.0,540.0,521.0,487.0,499.0,680.0,829.0,918.0,912.0,1027.0,1045.0,1137.0,1116.0,1228.0,1434.0,1437.0,1369.0,1424.0,1580.0,1398.0,1431.0,1551.0,2001.0,2241.0,2331.0,2634.0,3146.0,3698.0,3517.0,3394.0,3766.0,3498.0,3649.0,3661.0,3080.0
36,Cayman Islands,2578.0,3080.0,3872.0,4749.0,5203.0,5830.0,6537.0,7337.0,8261.0,9355.0,10666.0,12246.0,14136.0,19095.0,20739.0,21542.0,22566.0,25033.0,28950.0,31421.0,37182.0,37040.0,37559.0,38588.0,39938.0,40930.0,41941.0,43033.0,53251.0,54735.0,54633.0,53935.0,54459.0,54893.0,56274.0,62558.0,64105.0,68299.0,67033.0,61474.0,58857.0,59190.0,59283.0,59586.0,61681.0,62132.0
37,Central African Republic,151.0,158.0,177.0,204.0,208.0,274.0,319.0,351.0,413.0,462.0,511.0,444.0,405.0,346.0,322.0,344.0,436.0,457.0,471.0,450.0,513.0,479.0,478.0,422.0,274.0,350.0,309.0,280.0,283.0,286.0,257.0,257.0,269.0,304.0,333.0,348.0,373.0,418.0,475.0,465.0,458.0,500.0,484.0,332.0,365.0,333.0
38,Chad,97.0,104.0,106.0,114.0,130.0,184.0,169.0,168.0,196.0,174.0,175.0,201.0,184.0,192.0,202.0,194.0,232.0,255.0,288.0,264.0,308.0,296.0,299.0,252.0,198.0,235.0,254.0,234.0,258.0,216.0,189.0,224.0,251.0,331.0,517.0,664.0,715.0,779.0,931.0,812.0,823.0,908.0,894.0,905.0,942.0,713.0
39,Chile,1000.0,1175.0,1246.0,1746.0,1664.0,762.0,1024.0,1368.0,1553.0,2060.0,2700.0,3191.0,2246.0,1826.0,1783.0,1548.0,1638.0,1882.0,2160.0,2423.0,2624.0,2951.0,3510.0,3670.0,4139.0,5225.0,5416.0,5839.0,5523.0,5014.0,5101.0,4594.0,4453.0,4841.0,6242.0,7645.0,9501.0,10514.0,10791.0,10217.0,12785.0,14582.0,15253.0,15765.0,14566.0,13416.0
40,China,111.0,117.0,129.0,154.0,157.0,175.0,166.0,182.0,227.0,272.0,312.0,293.0,285.0,302.0,306.0,297.0,283.0,302.0,370.0,406.0,345.0,355.0,417.0,518.0,466.0,600.0,700.0,774.0,823.0,869.0,957.0,1052.0,1150.0,1294.0,1514.0,1768.0,2114.0,2706.0,3471.0,3840.0,4524.0,5579.0,6323.0,7072.0,7693.0,8109.0
41,Colombia,462.0,489.0,531.0,614.0,721.0,748.0,856.0,1062.0,1240.0,1457.0,1702.0,1813.0,1897.0,1844.0,1782.0,1590.0,1560.0,1590.0,1681.0,1662.0,1661.0,1669.0,1755.0,1995.0,2588.0,2946.0,3044.0,3291.0,2994.0,2584.0,2472.0,2396.0,2356.0,2245.0,2740.0,3386.0,3709.0,4674.0,5434.0,5148.0,6251.0,7228.0,7885.0,8031.0,7918.0,6056.0
42,Comoros,86.0,93.0,108.0,141.0,155.0,234.0,223.0,237.0,295.0,380.0,400.0,359.0,326.0,330.0,309.0,320.0,441.0,517.0,530.0,493.0,587.0,574.0,605.0,582.0,398.0,484.0,468.0,419.0,414.0,417.0,372.0,392.0,429.0,539.0,610.0,615.0,641.0,712.0,786.0,769.0,759.0,819.0,778.0,823.0,841.0,707.0
43,Congo,196.0,218.0,254.0,328.0,384.0,439.0,442.0,428.0,517.0,683.0,947.0,1074.0,1131.0,1066.0,1083.0,1037.0,863.0,1043.0,978.0,1043.0,1173.0,1112.0,1166.0,1040.0,670.0,778.0,909.0,808.0,652.0,776.0,1036.0,878.0,927.0,1049.0,1362.0,1738.0,2145.0,2001.0,2655.0,2364.0,3020.0,3542.0,3186.0,3191.0,3125.0,1838.0
44,Cook Islands,478.0,476.0,498.0,652.0,780.0,781.0,759.0,911.0,1095.0,1286.0,1448.0,1507.0,1508.0,1482.0,1529.0,1592.0,2052.0,2617.0,3344.0,3386.0,3777.0,4091.0,4186.0,4630.0,5452.0,5786.0,5854.0,5427.0,4780.0,5149.0,5140.0,5346.0,6074.0,8174.0,9358.0,9411.0,9557.0,11478.0,11661.0,10653.0,12579.0,14029.0,14725.0,14623.0,15323.0,14119.0
45,Costa Rica,635.0,676.0,758.0,912.0,970.0,1114.0,1336.0,1658.0,1852.0,2066.0,2409.0,1274.0,1232.0,1447.0,1639.0,1711.0,1873.0,1880.0,1866.0,2062.0,2197.0,2114.0,2467.0,2704.0,2889.0,3128.0,3087.0,3266.0,3509.0,3848.0,3808.0,3982.0,4062.0,4168.0,4425.0,4697.0,5245.0,6121.0,6911.0,6809.0,8199.0,9187.0,9985.0,10547.0,10437.0,11015.0
46,Croatia,,,,,,,,,,,,,,,,,,,,,3479.0,2847.0,2585.0,2761.0,3726.0,4849.0,5176.0,5256.0,5662.0,5248.0,4917.0,5283.0,6113.0,7894.0,9481.0,10374.0,11545.0,13789.0,16218.0,14464.0,13823.0,14467.0,13176.0,13525.0,13412.0,11479.0
47,Cuba,653.0,780.0,901.0,1088.0,1224.0,1380.0,1445.0,1474.0,1838.0,2003.0,2025.0,2039.0,2111.0,2228.0,2400.0,2273.0,2383.0,2455.0,2646.0,2577.0,2707.0,2280.0,2057.0,2071.0,2621.0,2790.0,2284.0,2306.0,2331.0,2560.0,2750.0,2841.0,3003.0,3201.0,3399.0,3787.0,4678.0,5194.0,5386.0,5495.0,5689.0,6139.0,6448.0,6790.0,7088.0,7657.0
48,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19995.0,20199.0,20516.0,20399.0,20277.0,20050.0
49,Cyprus,1004.0,1162.0,1397.0,1681.0,1818.0,1571.0,1832.0,2337.0,3045.0,3961.0,4750.0,4527.0,4643.0,4589.0,4767.0,5011.0,6329.0,7501.0,8563.0,9015.0,10802.0,10860.0,12680.0,11801.0,13013.0,15265.0,15154.0,14225.0,15083.0,15283.0,14364.0,14816.0,16042.0,20240.0,23773.0,25311.0,27172.0,31353.0,35392.0,32104.0,30817.0,32236.0,28951.0,27543.0,26408.0,21942.0
50,Czech Republic,,,,,,,,,,,,,,,,,,,,,3905.0,2862.0,3344.0,3913.0,4581.0,5760.0,6466.0,5975.0,6445.0,6295.0,5989.0,6577.0,7990.0,9724.0,11651.0,13292.0,15111.0,18278.0,22620.0,19668.0,19703.0,21639.0,19666.0,19857.0,19712.0,17562.0
