,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
196,Togo,125.0,136.0,155.0,176.0,230.0,248.0,231.0,273.0,330.0,385.0,416.0,338.0,282.0,244.0,222.0,228.0,312.0,360.0,423.0,403.0,472.0,455.0,465.0,346.0,262.0,338.0,360.0,357.0,329.0,321.0,265.0,266.0,286.0,317.0,357.0,378.0,387.0,430.0,523.0,509.0,496.0,562.0,578.0,603.0,643.0,567.0
197,Tonga,203.0,226.0,269.0,395.0,525.0,481.0,441.0,495.0,596.0,633.0,848.0,876.0,910.0,915.0,912.0,779.0,930.0,1115.0,1533.0,1597.0,1703.0,2049.0,2019.0,1991.0,2032.0,2120.0,2291.0,2206.0,1953.0,2006.0,1933.0,1695.0,1833.0,2082.0,2374.0,2593.0,2873.0,2985.0,3326.0,3154.0,3597.0,4294.0,4445.0,4178.0,4122.0,3784.0
198,Trinidad and Tobago,869.0,938.0,1119.0,1332.0,2048.0,2415.0,2438.0,3019.0,3380.0,4305.0,5746.0,6342.0,7264.0,6818.0,6712.0,6299.0,4049.0,4014.0,3732.0,3562.0,4148.0,4316.0,4396.0,3678.0,3957.0,4246.0,4577.0,4551.0,4787.0,5384.0,6431.0,6936.0,7050.0,8805.0,10291.0,12323.0,14096.0,16530.0,21188.0,14509.0,15840.0,18287.0,18322.0,20217.0,20717.0,20452.0
199,Tunisia,312.0,358.0,465.0,555.0,704.0,841.0,856.0,948.0,1082.0,1272.0,1507.0,1414.0,1326.0,1283.0,1237.0,1261.0,1318.0,1384.0,1408.0,1378.0,1642.0,1697.0,1978.0,1826.0,1916.0,2172.0,2323.0,2211.0,2295.0,2389.0,2214.0,2255.0,2346.0,2762.0,3113.0,3194.0,3371.0,3778.0,4310.0,4130.0,4140.0,4258.0,4140.0,4203.0,4277.0,3661.0
200,Turkey,703.0,648.0,794.0,974.0,1311.0,1601.0,1790.0,1995.0,2154.0,2874.0,2106.0,2125.0,1886.0,1761.0,1675.0,1838.0,2028.0,2290.0,2343.0,2714.0,3751.0,3698.0,3832.0,4277.0,3049.0,3889.0,4103.0,4226.0,4389.0,4009.0,4215.0,3054.0,3570.0,4587.0,5855.0,7117.0,7728.0,9309.0,10382.0,8624.0,10111.0,10539.0,10539.0,10801.0,10299.0,9126.0
201,Turkmenistan,,,,,,,,,,,,,,,,,,,,,839.0,804.0,679.0,686.0,565.0,523.0,558.0,618.0,651.0,867.0,1096.0,1484.0,1891.0,2424.0,2588.0,2987.0,3378.0,3807.0,4398.0,4060.0,4479.0,5725.0,6798.0,7480.0,8194.0,6997.0
202,Turks and Caicos Islands,1736.0,1915.0,2094.0,2279.0,2481.0,2709.0,2972.0,3268.0,3592.0,3933.0,4276.0,4614.0,4951.0,5304.0,5697.0,6144.0,6659.0,7236.0,7886.0,8547.0,9170.0,9757.0,10285.0,11086.0,11780.0,12424.0,13404.0,14238.0,15494.0,16489.0,16923.0,17772.0,16868.0,17502.0,19405.0,21877.0,26116.0,27009.0,29262.0,23248.0,22159.0,22971.0,22070.0,22245.0,23615.0,25122.0
203,Tuvalu,354.0,372.0,406.0,502.0,527.0,501.0,490.0,454.0,489.0,502.0,534.0,579.0,457.0,475.0,509.0,407.0,500.0,602.0,847.0,917.0,1059.0,1120.0,1176.0,1047.0,1244.0,1275.0,1349.0,1441.0,1391.0,1470.0,1302.0,1356.0,1536.0,1912.0,2241.0,2259.0,2353.0,2768.0,3095.0,2763.0,3238.0,3994.0,4044.0,3880.0,3796.0,3362.0
204,Uganda,151.0,162.0,171.0,195.0,230.0,258.0,264.0,276.0,275.0,253.0,259.0,285.0,317.0,340.0,325.0,324.0,357.0,386.0,426.0,363.0,248.0,195.0,202.0,203.0,309.0,350.0,344.0,360.0,335.0,309.0,285.0,287.0,292.0,299.0,346.0,398.0,422.0,502.0,587.0,594.0,597.0,638.0,701.0,715.0,750.0,648.0
205,Ukraine,,,,,,,,,,,,,,,,,,,,,1823.0,1720.0,1586.0,1395.0,1102.0,991.0,914.0,1037.0,874.0,665.0,664.0,814.0,918.0,1095.0,1426.0,1907.0,2406.0,3216.0,4087.0,2652.0,3093.0,3723.0,4029.0,4218.0,2967.0,2022.0
206,United Arab Emirates,4475.0,5246.0,6706.0,11004.0,25705.0,27709.0,30887.0,34408.0,28736.0,33674.0,42879.0,45131.0,40245.0,35136.0,32655.0,30067.0,23728.0,23953.0,22477.0,24219.0,27989.0,26946.0,26864.0,26141.0,26496.0,27974.0,29813.0,30377.0,27681.0,29279.0,34208.0,32106.0,32355.0,34295.0,37180.0,40299.0,42952.0,42914.0,45720.0,32905.0,34358.0,39901.0,41712.0,42987.0,44239.0,40439.0
207,United Kingdom of Great Britain and Northern Ireland (the),2350.0,2655.0,3039.0,3436.0,3673.0,4303.0,4138.0,4679.0,5974.0,7809.0,10049.0,9616.0,9156.0,8699.0,8191.0,8672.0,10642.0,13153.0,16025.0,16275.0,19142.0,19956.0,20546.0,18436.0,19752.0,22802.0,23986.0,26380.0,27773.0,28168.0,27781.0,27304.0,29637.0,34066.0,39921.0,41656.0,44161.0,50091.0,46615.0,38043.0,38741.0,41302.0,41621.0,42522.0,46615.0,44162.0
208,United States of America (the),5136.0,5525.0,6014.0,6641.0,7137.0,7713.0,8496.0,9350.0,10463.0,11574.0,12468.0,13854.0,14298.0,15405.0,16949.0,18059.0,18887.0,19844.0,21191.0,22600.0,23649.0,24177.0,25355.0,26403.0,27758.0,28782.0,30058.0,31547.0,32890.0,34535.0,36355.0,37166.0,38054.0,39555.0,41818.0,44215.0,46362.0,47994.0,48341.0,46931.0,48291.0,49675.0,51319.0,52632.0,54447.0,56054.0
209,Uruguay,903.0,1082.0,868.0,1109.0,1535.0,1351.0,1410.0,1571.0,1870.0,2658.0,3650.0,4048.0,3293.0,1895.0,1789.0,1735.0,2142.0,2668.0,2736.0,2785.0,2971.0,3543.0,4508.0,5213.0,6028.0,6609.0,6976.0,7328.0,7711.0,7247.0,6872.0,6281.0,4089.0,3622.0,4117.0,5221.0,5878.0,7010.0,9062.0,9415.0,11939.0,14167.0,15092.0,16881.0,16738.0,15574.0
210,Uzbekistan,,,,,,,,,,,,,,,,,,,,,719.0,723.0,643.0,630.0,599.0,594.0,604.0,661.0,629.0,706.0,561.0,376.0,394.0,401.0,472.0,555.0,662.0,841.0,1100.0,1238.0,1425.0,1639.0,1823.0,1969.0,2139.0,2308.0
211,Vanuatu,445.0,467.0,601.0,710.0,686.0,804.0,753.0,765.0,906.0,1159.0,1073.0,911.0,884.0,922.0,1097.0,1020.0,968.0,1005.0,1156.0,1106.0,1169.0,1355.0,1372.0,1372.0,1464.0,1621.0,1649.0,1630.0,1459.0,1461.0,1432.0,1347.0,1362.0,1580.0,1788.0,1886.0,2047.0,2393.0,2698.0,2643.0,2966.0,3275.0,3158.0,3167.0,3148.0,2783.0
212,Venezuela,1194.0,1272.0,1362.0,1577.0,2350.0,2404.0,2675.0,2998.0,3166.0,3784.0,4507.0,4922.0,4895.0,4755.0,3396.0,3425.0,3259.0,2521.0,3082.0,2137.0,2368.0,2544.0,2811.0,2732.0,2631.0,3375.0,3014.0,3715.0,3876.0,4078.0,4785.0,4928.0,3657.0,3230.0,4273.0,5436.0,6740.0,8325.0,11225.0,11535.0,13581.0,10755.0,12772.0,12265.0,11835.0,11069.0
213,Viet Nam,64.0,68.0,71.0,72.0,76.0,80.0,91.0,106.0,126.0,134.0,44.0,34.0,38.0,56.0,85.0,79.0,81.0,83.0,89.0,94.0,95.0,110.0,139.0,182.0,220.0,276.0,323.0,347.0,347.0,361.0,388.0,403.0,428.0,478.0,593.0,684.0,781.0,903.0,1145.0,1212.0,1312.0,1517.0,1725.0,1874.0,2015.0,2068.0
214,Yemen,,,,,,,,,,,,,,,,,,,,,337.0,333.0,339.0,343.0,341.0,389.0,460.0,477.0,431.0,502.0,611.0,614.0,650.0,700.0,784.0,929.0,1081.0,1181.0,1362.0,1240.0,1310.0,1282.0,1289.0,1360.0,1299.0,1106.0
215,Yugoslavia,721.0,776.0,803.0,1037.0,1422.0,1579.0,1768.0,2131.0,2513.0,3128.0,3181.0,3108.0,2810.0,2857.0,3059.0,3249.0,3518.0,3750.0,3891.0,4197.0,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Zambia,369.0,363.0,413.0,506.0,602.0,533.0,545.0,518.0,560.0,668.0,728.0,654.0,673.0,608.0,470.0,395.0,291.0,282.0,451.0,499.0,466.0,404.0,386.0,372.0,405.0,411.0,379.0,441.0,353.0,330.0,340.0,377.0,376.0,429.0,531.0,692.0,1030.0,1103.0,1366.0,1135.0,1456.0,1636.0,1725.0,1840.0,1726.0,1311.0
217,Zanzibar,,,,,,,,,,,,,,,,,,,,,201.0,220.0,214.0,202.0,199.0,235.0,295.0,438.0,325.0,314.0,325.0,336.0,337.0,342.0,380.0,408.0,445.0,514.0,600.0,580.0,588.0,652.0,759.0,835.0,936.0,794.0
218,Zimbabwe,388.0,434.0,518.0,616.0,716.0,760.0,728.0,712.0,689.0,791.0,981.0,1136.0,1164.0,1017.0,799.0,852.0,905.0,946.0,1060.0,1086.0,1120.0,1018.0,820.0,779.0,804.0,820.0,981.0,994.0,687.0,645.0,604.0,595.0,560.0,525.0,499.0,479.0,465.0,453.0,407.0,594.0,674.0,769.0,851.0,905.0,931.0,890.0
